Ndiff,run,model
-68,run27,bTB
-70,run28,bTB
-57.333333333333336,run29,bTB
-66.66666666666666,run30,bTB
-74.33333333333333,run31,bTB
-59,run32,bTB
-81.66666666666667,run33,bTB
-90,run34,bTB
-91.33333333333333,run35,bTB
-72.66666666666667,run36,bTB
-83,run37,bTB
-63.66666666666667,run38,bTB
-82,run39,bTB
-81,run40,bTB
-72,run41,bTB
-83.66666666666667,run42,bTB
-84.33333333333334,run43,bTB
-61.66666666666667,run44,bTB
-74,run45,bTB
-63,run46,bTB
-75,run47,bTB
-82.33333333333334,run48,bTB
-70.33333333333334,run49,bTB
-83,run50,bTB
-64.33333333333333,run51,bTB
-66.33333333333333,run52,bTB
-76.33333333333333,run53,bTB
-66.66666666666666,run54,bTB
-66.66666666666666,run55,bTB
-57.333333333333336,run56,bTB
-69,run57,bTB
-72.66666666666667,run58,bTB
-75,run59,bTB
-57.333333333333336,run60,bTB
-65.33333333333333,run61,bTB
-62.66666666666667,run62,bTB
-77,run63,bTB
-88.66666666666667,run64,bTB
-70,run65,bTB
-72.66666666666667,run66,bTB
-90.33333333333333,run67,bTB
-73,run68,bTB
-79.66666666666666,run69,bTB
-75.66666666666667,run70,bTB
-65,run71,bTB
-95.33333333333334,run72,bTB
-83.66666666666667,run73,bTB
-74.33333333333333,run74,bTB
-79.33333333333333,run75,bTB
-59,run76,bTB
-74.66666666666667,run77,bTB
-71.66666666666667,run78,bTB
-72.33333333333334,run79,bTB
-83.66666666666667,run80,bTB
-58.666666666666664,run81,bTB
-85,run82,bTB
-62,run83,bTB
-72.33333333333334,run84,bTB
-57.666666666666664,run85,bTB
-71.33333333333334,run86,bTB
-86,run87,bTB
-64,run88,bTB
-93.66666666666667,run89,bTB
-59.66666666666667,run90,bTB
-49,run91,bTB
-74.33333333333333,run92,bTB
-55.666666666666664,run93,bTB
-81.66666666666667,run94,bTB
-67.66666666666666,run95,bTB
-71,run96,bTB
-97,run97,bTB
-86.33333333333333,run98,bTB
-84,run99,bTB
-68.66666666666667,run100,bTB
118.66666666666667,run1,HS
151.33333333333334,run2,HS
89.33333333333333,run3,HS
95.33333333333334,run4,HS
220.00000000000003,run5,HS
69.33333333333334,run6,HS
30.666666666666664,run7,HS
135.33333333333331,run8,HS
73,run9,HS
133.66666666666666,run10,HS
97,run11,HS
143.33333333333334,run12,HS
65.33333333333333,run13,HS
228.66666666666666,run14,HS
130.33333333333331,run15,HS
106.66666666666667,run16,HS
175.66666666666666,run17,HS
85.66666666666667,run18,HS
108.33333333333333,run19,HS
47.333333333333336,run20,HS
141,run21,HS
116.66666666666667,run22,HS
164,run23,HS
102.66666666666666,run24,HS
274.6666666666667,run25,HS
129,run26,HS
233,run27,HS
95.33333333333334,run28,HS
139,run29,HS
266,run30,HS
33.666666666666664,run31,HS
191.66666666666669,run32,HS
130,run33,HS
221,run34,HS
144.66666666666669,run35,HS
114.33333333333333,run36,HS
77,run37,HS
244.33333333333334,run38,HS
87,run39,HS
158,run40,HS
250.66666666666669,run41,HS
175,run42,HS
37.333333333333336,run43,HS
221.33333333333334,run44,HS
155,run45,HS
122.33333333333334,run46,HS
152,run47,HS
46,run48,HS
220.00000000000003,run49,HS
134.66666666666666,run50,HS
152.66666666666666,run51,HS
104,run52,HS
153.33333333333334,run53,HS
130.33333333333331,run54,HS
150.33333333333334,run55,HS
62.33333333333333,run56,HS
131,run57,HS
277,run58,HS
165.33333333333334,run59,HS
220.33333333333331,run60,HS
203.66666666666666,run61,HS
220.00000000000003,run62,HS
182.33333333333331,run63,HS
104.33333333333333,run64,HS
83,run65,HS
165,run66,HS
199.33333333333334,run67,HS
-15,run68,HS
164.33333333333334,run69,HS
103.66666666666666,run70,HS
234.66666666666666,run71,HS
110.66666666666667,run72,HS
73.33333333333333,run73,HS
200,run74,HS
115.99999999999999,run75,HS
179.33333333333331,run76,HS
114.33333333333333,run77,HS
243.00000000000003,run78,HS
119.33333333333334,run79,HS
63.66666666666667,run80,HS
127.66666666666666,run81,HS
100.66666666666666,run82,HS
166,run83,HS
145.66666666666669,run84,HS
90.33333333333333,run85,HS
155.66666666666666,run86,HS
161,run87,HS
86,run88,HS
211.66666666666666,run89,HS
55.666666666666664,run90,HS
181.33333333333331,run91,HS
150.33333333333334,run92,HS
207.66666666666666,run93,HS
216,run94,HS
238.33333333333334,run95,HS
158.66666666666666,run96,HS
101,run97,HS
254.66666666666669,run98,HS
198,run99,HS
130.33333333333331,run100,HS
24,run1,LSD
139.33333333333334,run2,LSD
50.66666666666667,run3,LSD
126.66666666666666,run4,LSD
114.99999999999999,run5,LSD
51,run6,LSD
70.66666666666667,run7,LSD
55.00000000000001,run8,LSD
67,run9,LSD
66,run10,LSD
79.66666666666666,run11,LSD
103.33333333333334,run12,LSD
157.33333333333331,run13,LSD
39.666666666666664,run14,LSD
75,run15,LSD
97.66666666666667,run16,LSD
78,run17,LSD
100.33333333333334,run18,LSD
155.33333333333331,run19,LSD
14.333333333333334,run20,LSD
60,run21,LSD
18,run22,LSD
35.333333333333336,run23,LSD
82,run24,LSD
77.33333333333333,run25,LSD
-21.666666666666668,run26,LSD
-6.666666666666667,run27,LSD
32,run28,LSD
50.66666666666667,run29,LSD
63.33333333333333,run30,LSD
81.66666666666667,run31,LSD
30,run32,LSD
90.66666666666666,run33,LSD
46.33333333333333,run34,LSD
102.33333333333334,run35,LSD
121.33333333333334,run36,LSD
128.66666666666666,run37,LSD
80,run38,LSD
47,run39,LSD
13.666666666666666,run40,LSD
157.33333333333331,run41,LSD
86,run42,LSD
59.66666666666667,run43,LSD
153.66666666666666,run44,LSD
