Ndiff,run,model,transmit
165,run66,HS,FD
199.3333333,run67,HS,FD
-15,run68,HS,FD
164.3333333,run69,HS,FD
103.6666667,run70,HS,FD
234.6666667,run71,HS,FD
110.6666667,run72,HS,FD
73.33333333,run73,HS,FD
200,run74,HS,FD
116,run75,HS,FD
179.3333333,run76,HS,FD
114.3333333,run77,HS,FD
243,run78,HS,FD
119.3333333,run79,HS,FD
63.66666667,run80,HS,FD
127.6666667,run81,HS,FD
100.6666667,run82,HS,FD
166,run83,HS,FD
145.6666667,run84,HS,FD
90.33333333,run85,HS,FD
155.6666667,run86,HS,FD
161,run87,HS,FD
86,run88,HS,FD
211.6666667,run89,HS,FD
55.66666667,run90,HS,FD
181.3333333,run91,HS,FD
150.3333333,run92,HS,FD
207.6666667,run93,HS,FD
216,run94,HS,FD
238.3333333,run95,HS,FD
158.6666667,run96,HS,FD
101,run97,HS,FD
254.6666667,run98,HS,FD
198,run99,HS,FD
130.3333333,run100,HS,FD
24,run1,LSD,FD
139.3333333,run2,LSD,FD
50.66666667,run3,LSD,FD
126.6666667,run4,LSD,FD
115,run5,LSD,FD
51,run6,LSD,FD
70.66666667,run7,LSD,FD
55,run8,LSD,FD
67,run9,LSD,FD
66,run10,LSD,FD
79.66666667,run11,LSD,FD
103.3333333,run12,LSD,FD
157.3333333,run13,LSD,FD
39.66666667,run14,LSD,FD
75,run15,LSD,FD
97.66666667,run16,LSD,FD
78,run17,LSD,FD
100.3333333,run18,LSD,FD
155.3333333,run19,LSD,FD
14.33333333,run20,LSD,FD
60,run21,LSD,FD
18,run22,LSD,FD
35.33333333,run23,LSD,FD
82,run24,LSD,FD
77.33333333,run25,LSD,FD
-21.66666667,run26,LSD,FD
-6.666666667,run27,LSD,FD
32,run28,LSD,FD
50.66666667,run29,LSD,FD
63.33333333,run30,LSD,FD
81.66666667,run31,LSD,FD
30,run32,LSD,FD
90.66666667,run33,LSD,FD
46.33333333,run34,LSD,FD
102.3333333,run35,LSD,FD
121.3333333,run36,LSD,FD
128.6666667,run37,LSD,FD
80,run38,LSD,FD
47,run39,LSD,FD
13.66666667,run40,LSD,FD
157.3333333,run41,LSD,FD
86,run42,LSD,FD
59.66666667,run43,LSD,FD
153.6666667,run44,LSD,FD
79,run45,LSD,FD
55.66666667,run46,LSD,FD
49.33333333,run47,LSD,FD
40,run48,LSD,FD
10.33333333,run49,LSD,FD
59.33333333,run50,LSD,FD
47.66666667,run51,LSD,FD
109,run52,LSD,FD
-10,run53,LSD,FD
83.33333333,run54,LSD,FD
-13.33333333,run55,LSD,FD
65.66666667,run56,LSD,FD
110.6666667,run57,LSD,FD
42.66666667,run58,LSD,FD
65.66666667,run59,LSD,FD
50.33333333,run60,LSD,FD
63,run61,LSD,FD
41.66666667,run62,LSD,FD
108.3333333,run63,LSD,FD
84.33333333,run64,LSD,FD
56.33333333,run65,LSD,FD
77,run66,LSD,FD
60.66666667,run67,LSD,FD
69,run68,LSD,FD
53,run69,LSD,FD
101.3333333,run70,LSD,FD
21,run71,LSD,FD
55.33333333,run72,LSD,FD
117,run73,LSD,FD
72.66666667,run74,LSD,FD
10.66666667,run75,LSD,FD
54.66666667,run76,LSD,FD
112,run77,LSD,FD
45.66666667,run78,LSD,FD
82,run79,LSD,FD
58,run80,LSD,FD
94,run81,LSD,FD
69.66666667,run82,LSD,FD
94.33333333,run83,LSD,FD
147.6666667,run84,LSD,FD
38.66666667,run85,LSD,FD
95.33333333,run86,LSD,FD
68.66666667,run87,LSD,FD
109,run88,LSD,FD
81.66666667,run89,LSD,FD
81.33333333,run90,LSD,FD
68.33333333,run91,LSD,FD
116.6666667,run92,LSD,FD
116,run93,LSD,FD
84.33333333,run94,LSD,FD
59,run95,LSD,FD
