Ndiff,run,model,transmit
-74.33333333,run92,bTB,FD
-55.66666667,run93,bTB,FD
-81.66666667,run94,bTB,FD
-67.66666667,run95,bTB,FD
-71,run96,bTB,FD
-97,run97,bTB,FD
-86.33333333,run98,bTB,FD
-84,run99,bTB,FD
-68.66666667,run100,bTB,FD
118.6666667,run1,HS,FD
151.3333333,run2,HS,FD
89.33333333,run3,HS,FD
95.33333333,run4,HS,FD
220,run5,HS,FD
69.33333333,run6,HS,FD
30.66666667,run7,HS,FD
135.3333333,run8,HS,FD
73,run9,HS,FD
133.6666667,run10,HS,FD
97,run11,HS,FD
143.3333333,run12,HS,FD
65.33333333,run13,HS,FD
228.6666667,run14,HS,FD
130.3333333,run15,HS,FD
106.6666667,run16,HS,FD
175.6666667,run17,HS,FD
85.66666667,run18,HS,FD
108.3333333,run19,HS,FD
47.33333333,run20,HS,FD
141,run21,HS,FD
116.6666667,run22,HS,FD
164,run23,HS,FD
102.6666667,run24,HS,FD
274.6666667,run25,HS,FD
129,run26,HS,FD
233,run27,HS,FD
95.33333333,run28,HS,FD
139,run29,HS,FD
266,run30,HS,FD
33.66666667,run31,HS,FD
191.6666667,run32,HS,FD
130,run33,HS,FD
221,run34,HS,FD
144.6666667,run35,HS,FD
114.3333333,run36,HS,FD
77,run37,HS,FD
244.3333333,run38,HS,FD
87,run39,HS,FD
158,run40,HS,FD
250.6666667,run41,HS,FD
175,run42,HS,FD
37.33333333,run43,HS,FD
221.3333333,run44,HS,FD
155,run45,HS,FD
122.3333333,run46,HS,FD
152,run47,HS,FD
46,run48,HS,FD
220,run49,HS,FD
134.6666667,run50,HS,FD
152.6666667,run51,HS,FD
104,run52,HS,FD
153.3333333,run53,HS,FD
130.3333333,run54,HS,FD
150.3333333,run55,HS,FD
62.33333333,run56,HS,FD
131,run57,HS,FD
277,run58,HS,FD
165.3333333,run59,HS,FD
220.3333333,run60,HS,FD
203.6666667,run61,HS,FD
220,run62,HS,FD
182.3333333,run63,HS,FD
104.3333333,run64,HS,FD
83,run65,HS,FD
165,run66,HS,FD
199.3333333,run67,HS,FD
-15,run68,HS,FD
164.3333333,run69,HS,FD
103.6666667,run70,HS,FD
234.6666667,run71,HS,FD
110.6666667,run72,HS,FD
73.33333333,run73,HS,FD
200,run74,HS,FD
116,run75,HS,FD
179.3333333,run76,HS,FD
114.3333333,run77,HS,FD
243,run78,HS,FD
119.3333333,run79,HS,FD
63.66666667,run80,HS,FD
127.6666667,run81,HS,FD
100.6666667,run82,HS,FD
166,run83,HS,FD
145.6666667,run84,HS,FD
90.33333333,run85,HS,FD
155.6666667,run86,HS,FD
161,run87,HS,FD
86,run88,HS,FD
211.6666667,run89,HS,FD
55.66666667,run90,HS,FD
181.3333333,run91,HS,FD
150.3333333,run92,HS,FD
207.6666667,run93,HS,FD
216,run94,HS,FD
238.3333333,run95,HS,FD
158.6666667,run96,HS,FD
101,run97,HS,FD
254.6666667,run98,HS,FD
198,run99,HS,FD
130.3333333,run100,HS,FD
24,run1,LSD,FD
139.3333333,run2,LSD,FD
50.66666667,run3,LSD,FD
126.6666667,run4,LSD,FD
115,run5,LSD,FD
51,run6,LSD,FD
70.66666667,run7,LSD,FD
55,run8,LSD,FD
67,run9,LSD,FD
66,run10,LSD,FD
79.66666667,run11,LSD,FD
103.3333333,run12,LSD,FD
157.3333333,run13,LSD,FD
39.66666667,run14,LSD,FD
