Ndiff,run,model,transmit
-91.33333333333333,run95,bTB,DD
-91,run96,bTB,DD
-77.33333333333333,run97,bTB,DD
-95,run98,bTB,DD
-88.66666666666667,run99,bTB,DD
-91,run100,bTB,DD
-47.66666666666667,run1,HS,DD
-31,run2,HS,DD
-44.333333333333336,run3,HS,DD
-48,run4,HS,DD
-31.333333333333336,run5,HS,DD
-43.666666666666664,run6,HS,DD
-53.666666666666664,run7,HS,DD
-43,run8,HS,DD
-64,run9,HS,DD
-38,run10,HS,DD
-44.333333333333336,run11,HS,DD
-33,run12,HS,DD
-43,run13,HS,DD
-29.333333333333332,run14,HS,DD
-41,run15,HS,DD
-55.333333333333336,run16,HS,DD
-26.333333333333332,run17,HS,DD
-32.666666666666664,run18,HS,DD
-50.33333333333333,run19,HS,DD
-53,run20,HS,DD
-37.333333333333336,run21,HS,DD
-33,run22,HS,DD
-47.333333333333336,run23,HS,DD
-27,run24,HS,DD
-24.666666666666668,run25,HS,DD
-27.333333333333332,run26,HS,DD
-38.666666666666664,run27,HS,DD
-32.666666666666664,run28,HS,DD
-37.333333333333336,run29,HS,DD
-47.333333333333336,run30,HS,DD
-61,run31,HS,DD
-39,run32,HS,DD
-43.666666666666664,run33,HS,DD
-58.333333333333336,run34,HS,DD
-42.333333333333336,run35,HS,DD
-36,run36,HS,DD
-42,run37,HS,DD
-54.666666666666664,run38,HS,DD
-45.666666666666664,run39,HS,DD
-53.666666666666664,run40,HS,DD
-60,run41,HS,DD
-28.999999999999996,run42,HS,DD
-34.66666666666667,run43,HS,DD
-44.333333333333336,run44,HS,DD
-28.666666666666668,run45,HS,DD
-67,run46,HS,DD
-58.333333333333336,run47,HS,DD
-47.66666666666667,run48,HS,DD
-40.33333333333333,run49,HS,DD
-49,run50,HS,DD
-46.33333333333333,run51,HS,DD
-58.333333333333336,run52,HS,DD
-38,run53,HS,DD
-68.33333333333333,run54,HS,DD
-49.333333333333336,run55,HS,DD
-56.00000000000001,run56,HS,DD
-34,run57,HS,DD
-41.66666666666667,run58,HS,DD
-20,run59,HS,DD
-43,run60,HS,DD
-56.666666666666664,run61,HS,DD
-51.33333333333333,run62,HS,DD
-36.333333333333336,run63,HS,DD
-62.66666666666667,run64,HS,DD
-63,run65,HS,DD
-50.33333333333333,run66,HS,DD
-61.66666666666667,run67,HS,DD
-48,run68,HS,DD
-34.66666666666667,run69,HS,DD
-65,run70,HS,DD
-24,run71,HS,DD
-41.333333333333336,run72,HS,DD
-39.33333333333333,run73,HS,DD
-51,run74,HS,DD
-47.66666666666667,run75,HS,DD
-39.666666666666664,run76,HS,DD
-52,run77,HS,DD
-37,run78,HS,DD
-43,run79,HS,DD
-36.666666666666664,run80,HS,DD
-51.66666666666667,run81,HS,DD
-52.666666666666664,run82,HS,DD
-57.666666666666664,run83,HS,DD
-61.66666666666667,run84,HS,DD
-53.666666666666664,run85,HS,DD
-39.666666666666664,run86,HS,DD
-47.333333333333336,run87,HS,DD
-43.666666666666664,run88,HS,DD
-48.333333333333336,run89,HS,DD
-34.333333333333336,run90,HS,DD
-40.33333333333333,run91,HS,DD
-26.666666666666668,run92,HS,DD
-43,run93,HS,DD
-48.66666666666667,run94,HS,DD
-25.333333333333336,run95,HS,DD
-65.66666666666666,run96,HS,DD
-45.33333333333333,run97,HS,DD
-44,run98,HS,DD
-58.333333333333336,run99,HS,DD
-27.666666666666668,run100,HS,DD
-87.66666666666667,run1,LSD,DD
-91,run2,LSD,DD
-93,run3,LSD,DD
-74.66666666666667,run4,LSD,DD
-81,run5,LSD,DD
-98.66666666666667,run6,LSD,DD
-92,run7,LSD,DD
-93,run8,LSD,DD
-86.66666666666667,run9,LSD,DD
-94,run10,LSD,DD
-86.66666666666667,run11,LSD,DD
-91.33333333333333,run12,LSD,DD
-91.66666666666666,run13,LSD,DD
-83.33333333333334,run14,LSD,DD
-84,run15,LSD,DD
-74,run16,LSD,DD
-87.66666666666667,run17,LSD,DD
